단어,빈도,정서가,각성가,구체성
사랑*,7767,8.17,4.54,2.97
사전,418,5.21,3.81,8.34
사진기,47,6.38,3.85,8.70
사형,281,2.82,6.01,6.18
살인,888,1.29,7.04,6.06
삼각형,198,4.77,4.27,8.18
상가,119,4.93,4.39,7.52
상실감*,81,2.55,4.77,2.24
상자,879,4.72,4.24,8.35
상처,1815,2.85,6.02,6.15
상쾌*,188,8.01,4.25,2.71
새싹,179,6.91,3.62,7.95
생기*,271,6.98,4.23,3.11
생동감*,111,7.10,6.70,2.82
생명력,321,7.84,3.73,2.72
생산품,46,5.70,3.73,7.57
생일날,68,7.48,4.48,6.04
서예,91,5.23,3.18,7.14
서재,187,5.53,3.78,8.13
서커스,68,5.59,5.02,7.04
석고,177,4.63,4.20,7.83
석탑,235,4.97,3.12,8.66
선물,1442,7.23,5.30,7.04
선반,124,5.07,4.01,8.33
선호*,191,7.02,4.08,3.13
성공,1352,7.51,5.42,2.94
성취,346,7.70,4.45,3.22
성취감*,60,7.66,4.34,2.79
세무서,89,4.68,4.07,8.11
세탁기,162,4.99,5.41,8.72
소외감*,103,2.18,4.47,2.65
소품,221,5.18,4.25,7.45
속임수,143,2.33,6.80,3.70
수갑,146,2.80,5.93,8.55
수레,200,5.03,4.12,8.38
수익금,75,7.13,3.73,6.88
수저,160,5.72,3.37,8.64
수평선,176,6.00,3.11,7.34
순이익,134,7.57,3.92,4.29
순정,100,7.19,3.11,2.41
스위치,175,5.39,4.02,8.46
스탠드,118,5.63,3.70,8.56
스피커,115,5.44,4.77,8.63
슬리퍼,89,5.33,3.99,8.63
승리,1118,7.55,6.83,3.73
승진,351,7.23,4.61,4.70
시계,1132,5.62,3.87,8.53
시비,745,2.31,6.18,3.25
시체,690,2.08,6.25,8.17
식량난,114,2.19,6.51,4.47
식민지,1382,2.80,5.91,5.23
식칼,70,3.10,7.24,8.61
식탁,642,5.48,4.07,8.42
신경질*,169,2.26,6.82,3.49
신뢰,924,7.55,3.05,2.71
신명*,405,6.05,5.05,2.67
신문,5727,5.69,3.95,8.55
신문지,215,5.25,3.94,8.66
신바람*,166,6.70,5.70,2.71
신세계,51,6.80,5.09,2.55
실망*,324,2.70,4.95,2.76
실업자,169,2.62,5.91,6.82
실패,1001,2.76,6.67,2.67
아기,3176,7.60,3.42,8.16
아픔*,1081,3.06,6.02,3.55
악보,103,5.82,3.70,8.46
악취,201,2.05,6.17,4.82
안경,601,3.90,3.29,8.57
안도*,147,7.26,2.37,2.90
안락*,39,7.41,2.30,2.82
안심*,185,7.13,2.29,2.86
안정*,1430,7.23,1.46,2.85
안테나,92,5.64,5.13,8.50
암살,146,1.65,6.63,5.61
암석,112,4.95,4.06,8.24
압수,114,2.65,6.34,4.44
애인,709,7.41,5.35,6.76
애정*,758,7.61,4.09,3.34
애착*,165,6.46,4.47,3.08
액자,213,5.44,3.78,8.57
야산,155,4.14,5.20,7.36
약재,83,5.19,3.77,7.50
억압,605,2.30,6.05,2.96
언덕,802,4.16,4.19,7.57
업적,543,7.09,5.29,4.01
에이즈,308,2.34,5.91,5.86
엔진,318,5.50,5.50,7.63
여유,1367,7.38,2.37,2.88
여행,2543,7.66,6.10,5.03
연정*,34,5.73,4.60,2.70
열등감*,224,2.84,6.45,2.57
열성*,156,6.63,6.15,3.03
열쇠,559,5.74,4.00,8.59
열정*,624,7.31,6.56,2.71
영광,569,7.11,5.78,2.59
영수증,89,4.91,4.30,8.55
오락,355,6.66,5.02,5.39
오른발,87,5.34,4.16,8.78
온정*,44,7.66,2.35,2.63
올가미,63,2.11,6.98,7.87
올리브,51,5.91,3.31,8.51
옷감,177,5.52,3.77,7.63
외로움*,447,3.41,4.46,2.62
외투,174,6.13,3.49,8.30
왼발,85,5.12,4.23,8.71
욕설,362,2.61,7.01,5.00
용품,424,5.27,4.14,7.22
우산,710,5.10,3.70,8.66
우승,575,7.65,7.15,4.74
우울*,119,2.19,4.69,2.83
우유,845,5.19,4.06,8.61
우정,397,8.03,3.41,2.85
우편,343,5.72,3.98,8.08
우표,93,5.94,3.69,8.62
울음*,976,4.59,5.42,4.80
웃음*,2728,7.91,4.50,4.65
원고지,210,5.09,4.02,8.52
원망*,212,2.28,6.82,3.03
원서,232,4.75,5.02,7.77
원한*,225,2.60,7.13,2.84
위선자,34,2.41,6.03,4.38
위험*,1592,2.97,6.76,3.33
유대감*,37,6.80,3.37,2.51
유서,250,3.47,4.54,7.29
유족,251,2.74,5.64,6.80
유해,528,3.06,5.17,3.90
음모,437,2.34,6.89,2.93
의심*,706,3.25,5.92,2.97
이별,333,2.58,6.23,3.73
이어폰,77,5.71,4.15,8.75
이혼,450,2.59,6.70,5.57
인격,567,6.58,4.50,3.06
입구,995,5.45,4.18,7.24
자괴감*,57,2.63,5.65,2.73
자긍심*,85,7.47,3.35,2.64
자물쇠,126,4.80,3.86,8.63
자부심*,343,7.07,3.95,3.09
자살,721,1.52,6.47,6.11
자유,4163,7.82,3.85,2.76
자판기,113,5.51,4.23,8.79
장독대,72,5.45,4.07,8.78
장례식,251,2.12,5.15,6.85
장애,1643,3.63,4.80,5.08
장화,123,5.04,3.98,8.61
재능,474,7.14,4.64,2.69
재봉틀,172,5.07,4.48,8.64
재앙,188,2.00,6.45,3.75
저울,75,5.26,3.49,8.38
적개심*,99,2.77,6.72,2.93
전구,112,5.56,4.07,8.29
전기,114,5.81,4.05,6.51
전기,1705,5.55,4.29,6.25
전등,172,5.42,4.40,8.39
전력,666,5.55,5.05,5.90
전류,126,4.80,5.33,5.87
전봇대,76,5.40,3.90,8.78
전선,78,4.89,4.33,7.69
전쟁,5697,2.24,7.43,5.90
전투,801,3.71,6.39,5.30
전화선,103,5.68,4.04,8.55
절단,69,2.57,6.76,5.55
절망*,643,2.11,6.21,2.73
정감*,108,7.50,3.39,2.81
정열*,309,7.30,5.23,2.72
제품,3073,5.37,4.07,7.43
조끼,105,5.28,3.78,8.44
조롱*,70,1.84,7.47,3.50
조화,936,6.20,3.20,4.50
존경*,319,7.73,3.14,2.89
종이컵,76,5.43,4.30,8.76
좌절감*,103,2.20,5.58,2.72
죄책감*,155,3.06,6.13,2.68
주전자,212,5.20,4.03,8.71
죽음,5248,2.36,5.13,4.72
중력,111,5.57,3.66,4.73
즐거움*,691,7.73,5.88,3.04
증기,103,4.93,3.73,6.33
증오*,330,1.72,7.12,2.92
지렁이,132,3.37,4.90,8.79
지문,160,4.66,3.64,8.56
진리,1281,7.31,3.57,2.11
질투*,244,3.12,7.22,2.61
징역,536,2.42,7.02,5.08
착취,157,2.04,6.28,3.70
찬양,70,6.26,4.02,2.71
찻잔,128,5.28,3.41,8.51
창조,840,6.77,5.58,2.84
창피*,45,2.75,6.20,2.77
창호지,86,5.10,3.75,8.41
채소,485,5.58,3.96,7.89
책가방,136,5.26,4.01,8.55
책상,1265,5.55,3.80,8.61
책장,191,5.74,3.76,8.55
책장,81,5.42,3.74,8.62
챔피언,130,7.21,6.60,5.51
처벌,684,3.55,6.23,4.55
천국,377,7.60,3.27,2.03
천사,284,7.50,4.75,3.00
천재성,43,6.93,6.26,2.36
철조망,107,3.39,5.31,8.36
청바지,217,5.54,5.54,8.63
체념*,131,2.60,4.77,2.49
체포,182,3.09,6.09,5.85
총소리,131,2.53,7.63,6.16
축복,258,7.72,4.85,2.67
축하,334,7.73,4.58,3.76
출혈,220,2.49,7.47,7.08
치약,106,5.89,3.98,8.69
치유,123,7.78,2.84,3.14
친구,7450,7.88,3.24,6.08
친절,177,7.36,3.32,3.04
칠판,139,5.01,4.17,8.67
침묵*,1130,4.04,3.46,3.88
침울*,110,2.23,4.55,2.80
칭찬,549,7.75,5.89,3.59
칼날,202,2.69,7.40,8.34
코트,271,5.55,3.84,8.37
쾌감*,383,6.98,6.31,3.15
쾌거,43,7.49,7.12,2.62
탁자,538,4.96,3.91,8.51
탈주,42,3.29,6.61,4.66
테러,578,2.15,8.01,5.73
통나무,120,5.88,3.21,8.44
특별,1766,7.04,5.90,2.70
파괴,819,2.40,6.65,4.08
패배,399,2.79,6.10,3.59
평상복,45,5.72,3.38,7.36
평온*,50,7.66,2.45,2.81
평화,2758,7.86,2.52,2.89
포로,397,3.18,5.67,6.78
포크,153,5.25,5.13,8.80
폭력,1696,2.24,7.24,4.78
폭소*,74,7.21,5.52,4.11
폭탄,300,3.16,6.75,7.98
표지,298,5.16,4.04,7.50
풍요,175,7.18,3.64,3.08
프린트,47,5.45,4.00,8.43
피난민,75,2.94,5.57,6.98
피해,2035,2.66,6.21,3.77
학대,188,1.70,6.67,4.56
학용품,46,5.76,3.87,8.24
한숨*,1240,3.30,4.22,4.92
해결,1573,7.00,3.70,3.08
해골,108,3.11,5.73,8.23
해부,76,3.58,5.88,6.28
해탈,62,5.63,3.74,1.94
햇살,775,7.15,2.89,6.18
행운,378,7.74,3.83,2.61
허무*,173,3.19,4.95,2.39
현수막,86,4.88,4.26,8.32
혐오감*,110,1.96,6.82,3.03
협박,357,2.42,6.96,3.78
형광등,133,5.29,4.24,8.66
호감*,276,7.46,4.49,2.94
호강,43,7.52,3.33,2.8
호평,94,7.39,3.85,3.6
화장실,1089,4.19,4.46,8.29
화합,273,7.45,2.74,2.96
화해,671,6.88,3.16,3.12
환상,950,5.73,5.75,2.66
환상적*,320,7.44,5.85,2.13
환영,333,7.05,4.94,3.06
환희*,194,7.4,6.19,2.82
활동력,34,7.18,6.63,3.09
활력소,32,7.42,5.47,3.14
활약,197,6.79,6.14,3.13
황홀*,44,7.49,6.24,2.44
후회*,255,2.93,5.23,2.87
휴식,498,7.8,2.01,3.38
흉터,129,2.55,6.33,7.81
흐느낌*,76,3.09,5.55,3.57
흥분*,472,5.32,8.4,2.95
희롱,35,1.89,6.57,3.2
희망,2032,7.28,5.33,2.45
희열*,109,6.99,6.6,2.87
